Company Name,Company Rating,Job Title,Location,Description,Salary Range,Median Salary
Infogain,3.6,Data Science Analyst (Standard),Bengaluru,"ROLES & RESPONSIBILITIES
Core Skills
Work with subject matter experts from airlines to identify opportunities for leveraging data to deliver insights and actionable prediction of customer behavior and operations performance.
Assess the effectiveness and accuracy of new data sources, data gathering and forecasting techniques.
Develop custom data models and algorithms to apply to data sets and run proof of concept studies.
Leverage existing Statistical and Machine Learning tools to enhance in-house algorithms.
Collaborate with software engineers to implement and test production quality code for forecasting and data analytics models.
Develop processes and tools to monitor and analyze data accuracy and models’ performance.
Demonstrate software to customers and perform value proving benchmarks. Calibrate software for customer needs and train customer for using and maintaining software.",₹5L – ₹7L/yr (Glassdoor Est.),₹6L/yr Median
AMNEX INFOTECHNOLOGIES,4.4,Data Scientist,Ahmedabad,"null
experience
3-7 Yrs
candidate_profile
null
candidate_skills
null
job_description
Proven experience as a Machine Learning Engineer or similar role
Understanding of data structures, data modelling and software architecture",₹3L – ₹4L/yr (Glassdoor Est.),₹4L/yr Median
Ideas2IT Technologies,3.8,Data Scientist,Chennai,"In this role, you'll tackle advanced machine learning projects like enhancing model serving and developing AI-driven systems. You'll work with top companies, innovate with your ideas, and collaborate on core ML initiatives. Ideal candidates have 3-8 years of data science experience, strong Python skills, and expertise in deep learning algorithms and frameworks.
Location
Chennai
Type
Permanent
Job Role:
‍You will work on cutting-edge machine learning projects, such as enhancing TorchServe for model serving and improving PyTorch training. Key projects include developing a Document Comprehension Engine using RNN and OCR techniques, creating AI-driven adaptive engineering systems to generate industrial designs from historical data, and building advanced Q&A systems that dynamically create knowledge bases from unstructured documents. You will be involved in numerous other innovative AI initiatives, contributing to the advancement of machine learning technologies.",₹10L/yr (Glassdoor Est.),N/A
NewRocket,3.6,Data Scientist - India,Pune,"Why Us
NewRocket, a global, full-service Elite ServiceNow partner, helps top enterprise leaders solve their toughest business problems and navigate change with confidence. The go-to ServiceNow guide, NewRocket was recently awarded the ""2024 ServiceNow Worldwide Customer Workflow Partner of the Year"" and ""2023 ServiceNow Creator Workflow Partner of the Year"". We work with some of the world's biggest brands, bridging the gap between what customers expect and what their technology can deliver.
We #GoBeyondWorkflows to create new kinds of experiences for our customers.
Come join our Crew!
The Role
We are seeking a skilled Data Scientist with 4 years of experience to join our dynamic team. The ideal candidate will leverage their expertise in data analysis, machine learning, and statistical modeling to extract actionable insights from complex datasets. This role will involve collaborating with cross-functional teams to solve business problems, develop predictive models, and contribute to data-driven decision-making processes.",₹6L – ₹10L/yr (Glassdoor Est.),₹7L/yr Median
Arjunvaishnavi Infrastructure & Developers Pvt Ltd,N/A,Data Analytics,Dhārwād,"The successful candidate with 5+ years of experience will be responsible for designing, developing, and maintaining data analytics solutions to support healthcare product team. The ideal candidate will have a strong background in data analysis, programming, and data visualization.
Key Responsibilities:
1. Design and develop data analytics solutions: Develop data models, data warehouses, and data visualizations to support business decision-making.
2. Work with stakeholders to gather requirements: Collaborate with stakeholders to understand business needs and develop data analytics solutions to meet those needs.
3. Develop and maintain databases: Design, develop, and maintain databases to support data analytics solutions.
4. Perform data analysis and modeling: Perform data analysis and modeling to identify trends, patterns, and insights.",₹22K – ₹60K/mo (Employer provided),₹41K/mo Median
Ethos Life,3.9,Data Scientist,Bengaluru,"About Ethos
Ethos was built to make it faster and easier to get life insurance for the next million families. Our approach blends industry expertise, technology, and the human touch to find you the right policy to protect your loved ones.
We leverage deep technology and data science to streamline the life insurance process, making it more accessible and convenient. Using predictive analytics, we are able to transform a traditionally multi-week process into a modern digital experience for our users that can take just minutes! We've issued billions in coverage each month and eliminated the traditional barriers, ushering the industry into the modern age. Our full-stack technology platform is the backbone of family financial health.
We make getting life insurance easier, faster and better for everyone.
Our investors include General Catalyst, Sequoia Capital, Accel Partners, Google Ventures, SoftBank, and the investment vehicles of Jay-Z, Kevin Durant, Robert Downey Jr and others. This year, we were named on CB Insights' Global Insurtech 50 list and BuiltIn's Top 100 Midsize Companies in San Francisco. We are scaling quickly and looking for passionate people to protect the next million families!",₹5L – ₹8L/yr (Glassdoor Est.),₹6L/yr Median
AllHeart Web Pvt Ltd,N/A,Data Science Intern,Chandigarh,"Please note its NOT work from home job
Interview location : In person
We are not conduting any telephonic interviews.
Key Skills
Ability to work with large data sets using Python.
Have a strong background in Python programming, MySQL, Linux, and Machine Learning.
Basic knowledge of other relevant technologies, including Cloud computing, Jupyter Notebook, Machine learning algorithms, TensorFlow, PyTorch, Tesseract OCR, and NLP techniques and models such as SpaCy, Bert, NLTK and AutoML.",₹25K/mo (Employer provided),N/A
Technology Next,3.4,ML Engineer,Remote,"Role: ML Engineer
Type:Remote
Experience: 4+ Years
Contract Duration: 3 Months
Timings: IST (normal shift)
Skills: Azure Cloud Platform, Python with OOPS concept, ML Algorithms (Supervised/Unsupervised, Forecasting, etc.), Databricks including Unity Catalogue, Airflow, MLOPS, ML Lifecycle, CI/CD Pipeline, Flask/FastAPI
Job Types: Full-time, Contractual / Temporary
Contract length: 3 months
Pay: ₹40,000.00 - ₹70,000.00 per month
Schedule:",₹40K – ₹70K/mo (Employer provided),₹55K/mo Median
Mani India Technologies,3.5,Senior Data Scientist,Chennai,"Title: Senior Data Scientist
Years of Experience: 8+ years
*Location: The selected candidate is required to work onsite at our Chennai/Kovilpatti location for the initial Three-month project training and execution period. After the Three months, the candidate will be offered remote opportunities.*
The Senior Data Scientist will lead the development and implementation of advanced analytics and
AI/ML models to solve complex business problems. This role requires deep statistical expertise,
hands-on model building experience, and the ability to translate raw data into strategic insights. The
candidate will collaborate with business stakeholders, data engineers, and AI engineers to deploy
production-grade models that drive innovation and value.
Key responsibilities",₹7L – ₹10L/yr (Glassdoor Est.),₹8L/yr Median
Technovert,3.9,Senior Data Scientist,Hyderābād,"Job Title: Senior Data Scientist
Location:Hyderabad/Bangalore
Department: Advanced Analytics & AI Solutions

About the Role
We are seeking a highly skilled Senior Data Scientist to lead the end-to-end design, enhancement, and deployment of a machine learning solution that predicts the virality of press articles. This role is part of a high-impact digital media analytics project designed to support brand reputation management by forecasting which headlines are likely to gain rapid traction.
The ideal candidate brings deep expertise in natural language processing (NLP), deep learning (especially transformer models like BERT), and hands-on experience with Azure AI services. You will drive the evolution of a proof-of-concept Python model into a scalable, production-grade Azure-based solution integrated with downstream generative AI interfaces.",₹6L – ₹7L/yr (Glassdoor Est.),₹6L/yr Median
Crimson Interactive,3.7,Senior Data Scientist,Mumbai,"We are building a world-class language-related product that has the potential to positively transform lives worldwide. We have a passionate team of data scientists, coders, and linguists who have been working on it. We are looking for a Senior Data Scientist who will lead the team from the technology standpoint. You will identify and implement the best data-driven methodologies considering the product requirements and guide the team in delivering meaningful results. As a Senior Data Scientist, you will serve as the technology leader driving the vision of the product.

Work location: Mumbai

If this opportunity sounds exciting, APPLY NOW!!
Liquid error: undefined method `public_fields' for nil:NilClass",₹6L – ₹10L/yr (Glassdoor Est.),₹8L/yr Median
Axis My India,4.3,Senior Data Scientist,Mumbai,"6 to 8 years in the same/similar field

Date Opened
07/09/2025
Industry
Research
Job Type
Full time
City
Mumbai",N/A,N/A
Smart Data Solutions LLC,2.8,Machine Learning Engineer,India,"About us:

For over 20 years, Smart Data Solutions has been partnering with leading payer organizations to provide automation and technology solutions enabling data standardization and workflow automation. The company brings a comprehensive set of turn-key services to handle all claims and claims-related information regardless of format (paper, fax, electronic), digitizing and normalizing for seamless use by payer clients. Solutions include intelligent data capture, conversion and digitization, mailroom management, comprehensive clearinghouse services and proprietary workflow offerings. SDS’ headquarters are just outside of St. Paul, MN and leverages dedicated onshore and offshore resources as part of its service delivery model. The company counts over 420 healthcare organizations as clients, including multiple Blue Cross Blue Shield state plans, large regional health plans and leading independent TPAs, handling over 500 million transactions of varying types annually with a 98%+ customer retention rate. SDS has also invested meaningfully in automation and machine learning capabilities across its tech-enabled processes to drive scalability and greater internal operating efficiency while also improving client results.",N/A,N/A
Innovaccer Analytics,3.4,3123-Data Scientist,Noida,"Analytics at Innovaccer

Our analytics team is dedicated to weaving analytics and data science magics across our products. They are the owners and custodians of intelligence behind our products. With their expertise and innovative approach, they play a crucial role in building various analytical models (including descriptive, predictive, and prescriptive) to help our end-users make smart decisions. Their focus on continuous improvement and cutting-edge methodologies ensures that they're always creating market leading solutions that propel our products to new heights of success. If analytics is your game, then this team is just the right place for you.
The technology that once promised to simplify patient care has brought more issues than anyone ever anticipated. At Innovaccer, we defeat this beast by making full use of all the data Healthcare has worked so hard to collect, and replacing long-standing problems with ideal solutions.",₹4L – ₹6L/yr (Glassdoor Est.),₹5L/yr Median
Motorola Solutions,4.3,Senior Data Scientist,India,"Company Overview
At Motorola Solutions, we believe that everything starts with our people. We’re a global close-knit community, united by the relentless pursuit to help keep people safer everywhere. Our critical communications, video security and command center technologies support public safety agencies and enterprises alike, enabling the coordination that’s critical for safer communities, safer schools, safer hospitals and safer businesses. Connect with a career that matters, and help us build a safer future.

Department Overview
The Design & Tools (D&T) team is a strategic component of Centralized Managed Support Operations (CMSO), responsible for providing exceptional Service Design & innovative technology solutions to enable and empower MSI Centralized Managed Support Operations to meet and exceed customer's expectations. In this role, you will fit in the AI & Architecture team within D&T.




None

None

Experienced
No",N/A,N/A
Amazon.com,3.6,Senior Data Scientist - AWS Professional Services,Bengaluru,"DESCRIPTION
AWS Sales, Marketing, and Global Services (SMGS) is responsible for driving revenue, adoption, and growth from the largest and fastest growing small- and mid-market accounts to enterprise-level customers including public sector.

AWS Global Services includes experts from across AWS who help our customers design, build, operate, and secure their cloud environments. Customers innovate with AWS Professional Services, upskill with AWS Training and Certification, optimize with AWS Support and Managed Services, and meet objectives with AWS Security Assurance Services. Our expertise and emerging technologies include AWS Partners, AWS Sovereign Cloud, AWS International Product, and the Generative AI Innovation Center. You’ll join a diverse team of technical experts in dozens of countries who help customers achieve more with the AWS cloud.

Excited by using massive amounts of data to develop Machine Learning (ML) and Deep Learning (DL) models? Want to help the largest global enterprises derive business value through the adoption of Artificial Intelligence (AI)? Eager to learn from many different enterprise’s use cases of AWS ML and DL? Thrilled to be key part of Amazon, who has been investing in Machine Learning for decades, pioneering and shaping the world’s AI technology?
At AWS ProServe India LLP (“ProServe India”), we are helping large enterprises build ML and DL models on the AWS Cloud. We are applying predictive technology to large volumes of data and against a wide spectrum of problems. Our Professional Services organization works together with our internal customers to address business needs of AWS customers using AI.

AWS Professional Services is a unique consulting team in ProServe India. We pride ourselves on being customer obsessed and highly focused on the AI enablement of our customers. If you have experience with AI, including building ML or DL models, we’d like to have you join our team. You will get to work with an innovative company, with great teammates, and have a lot of fun helping our customers.

If you do not live in a market where we have an open Data Scientist position, please feel free to apply. Our Data Scientists can live in any location where we have a Professional Service office.

A successful candidate will be a person who enjoys diving deep into data, doing analysis, discovering root causes, and designing long-term solutions. It will be a person who likes to have fun, loves to learn, and wants to innovate in the world of AI. Major responsibilities include:



This role is open for Mumbai/Pune/Bangalore/Chennai/Hyderabad/Delhi/Pune.

About the team
Diverse Experiences: AWS values diverse experiences. Even if you do not meet all of the preferred qualifications and skills listed in the job below, we encourage candidates to apply. If your career is just starting, hasn’t followed a traditional path, or includes alternative experiences, don’t let it stop you from applying.

Why AWS? Amazon Web Services (AWS) is the world’s most comprehensive and broadly adopted cloud platform. We pioneered cloud computing and never stopped innovating — that’s why customers from the most successful startups to Global 500 companies trust our robust suite of products and services to power their businesses.

Inclusive Team Culture AWS values curiosity and connection. Our employee-led and company-sponsored affinity groups promote inclusion and empower our people to take pride in what makes us unique. Our inclusion events foster stronger, more collaborative teams. Our continual innovation is fueled by the bold ideas, fresh perspectives, and passionate voices our teams bring to everything we do.

Mentorship & Career Growth - We’re continuously raising our performance bar as we strive to become Earth’s Best Employer. That’s why you’ll find endless knowledge-sharing, mentorship and other career-advancing resources here to help you develop into a better-rounded professional.

Work/Life Balance - We value work-life harmony. Achieving success at work should never come at the expense of sacrifices at home, which is why we strive for flexibility as part of our working culture. When we feel supported in the workplace and at home, there’s nothing we can’t achieve in the cloud.",₹5L – ₹10L/yr (Glassdoor Est.),₹7L/yr Median
Swastika Web Technology,N/A,AI/ML Engineer Python Web Scrapping,Remote,"We are looking for a highly skilled AI/ML Engineer with solid experience in Python-based web scraping to join our fast-growing e-commerce tech team. The ideal candidate has a strong background in developing data pipelines, building AI/ML models, and extracting structured data from unstructured sources at scale.
Key Responsibilities:
Design and implement Python-based web scrapers to extract large-scale data from websites and eCommerce platforms
Develop and deploy AI/ML models for data classification, product tagging, personalization, and pricing intelligence
Work with NLP, computer vision, or recommendation systems to improve user experience and decision-making",₹40K – ₹80K/mo (Employer provided),₹60K/mo Median
Fractal Analytics,4.2,Senior Data Scientist_Data Scientist_7,Bengaluru,"It's fun to work in a company where people truly BELIEVE in what they are doing!
We're committed to bringing passion and customer focus to the business.
Job Title: Senior Data Scientist – Agentic AI Platforms & Applications
Job Description:
We are looking for a Senior Data Scientist to lead the design and development of agentic AI platforms and intelligent applications. This role focuses on leveraging large language models (LLMs), orchestration frameworks, and Python-based development to build autonomous agents that can reason, interact with tools, and perform complex tasks. You will play a hands-on role in shaping the system architecture and implementing key components that power agent behavior.
Key Responsibilities:",₹6L – ₹10L/yr (Glassdoor Est.),₹8L/yr Median
MNJ Software,4.4,Data Science (AI & Python Program Developers),Remote,"About Us
Energize your career with one of Information Technology’s fastest growing companies.
You dream of a great career with a great company – where you can make an impact and help people. We dream of giving you the opportunity to do just this. And with the incredible growth of our business, it’s a dream that definitely can come true. Already one of the world’s leading IT companies, MNJ SOFTWARE is restlessly pursuing new ways to operate our service centers, improve our service levels and help people lead healthier lives. We live for the opportunity to make a difference and right now, we are living it up.
MNJ SOFTWARE is an IT services, business solutions and outsourcing organization that delivers real results to global businesses, ensuring a level of certainty no other firm can match.
MNJ SOFTWARE offers a consulting-led, integrated portfolio of IT and IT-enabled services delivered through its unique Global Network Delivery Model, recognized as the benchmark of excellence in software development.",N/A,N/A
Google,4.3,"Cloud Engineer, AI",Gurgaon,"Note: By applying to this position you will have an opportunity to share your preferred working location from the following: Gurugram, Haryana, India; Bengaluru, Karnataka, India; Hyderabad, Telangana, India.
Minimum qualifications:
Bachelor's degree in Computer Science, Mathematics, a related technical field, or equivalent practical experience.
Experience building Machine Learning or Data Science solutions.
Experience writing software in Python, Scala, R, or similar.
Experience with data structures, algorithms, and software design.
Ability to travel up to 30% of the time.

Google is proud to be an equal opportunity workplace and is an affirmative action employer. We are committed to equal employment opportunity regardless of race, color, ancestry, religion, sex, national origin, sexual orientation, age, citizenship, marital status, disability, gender identity or Veteran status. We also consider qualified applicants regardless of criminal histories, consistent with legal requirements. See also Google's EEO Policy and EEO is the Law. If you have a disability or special need that requires accommodation, please let us know by completing our Accommodations for Applicants form.",₹3L – ₹8L/yr (Glassdoor Est.),₹5L/yr Median
Pattern,4.5,Senior Data and Applied Scientist,Pune,"As a Senior Data and Applied Scientist, you will work with Pattern's Data Science team to curate and analyze data and apply machine learning models and statistical techniques to optimize advertising spend on ecommerce platforms.
What you’ll do:
Design, build, and maintain machine learning and statistical models to optimize advertising campaigns to improve search visibility and conversion rates on ecommerce platforms.
Continuously optimize the quality of our machine learning models, especially for key metrics like search ranking, keyword bidding, CTR and conversion rate estimation
Conduct research to integrate new data sources, innovate in feature engineering, fine-tuning algorithms, and enhance data pipelines for robust model performance.",₹7L – ₹9L/yr (Glassdoor Est.),₹8L/yr Median
Warner Bros. Discovery,3.6,Staff Data Scientist,Hyderābād,"Welcome to Warner Bros. Discovery… the stuff dreams are made of.
Who We Are…
When we say, “the stuff dreams are made of,” we’re not just referring to the world of wizards, dragons and superheroes, or even to the wonders of Planet Earth. Behind WBD’s vast portfolio of iconic content and beloved brands, are the storytellers bringing our characters to life, the creators bringing them to your living rooms and the dreamers creating what’s next…
From brilliant creatives, to technology trailblazers, across the globe, WBD offers career defining opportunities, thoughtfully curated benefits, and the tools to explore and grow into your best selves. Here you are supported, here you are celebrated, here you can thrive.
Your New Role:
This position will join the Enterprise Data and AI team that supports all brands in the Warner Bros umbrella including WB films in theatrical and home entertainment, DC studios, Consumer Products, games, etc. The ideal candidate is a subject matter expert in data science with exposure to predictive modeling, forecasting, recommendation engines and data analytics. This person will build data pipelines, apply statistical modeling and machine learning, and deliver meaningful insights about customers, products and business strategy WBD to drive data-based decisions
Warner Bros. Discovery embraces the opportunity to build a workforce that reflects a wide array of perspectives, backgrounds and experiences. Being an equal opportunity employer means that we take seriously our responsibility to consider qualified candidates on the basis of merit, regardless of sex, gender identity, ethnicity, age, sexual orientation, religion or belief, marital status, pregnancy, parenthood, disability or any other category protected by law.",₹4L – ₹7L/yr (Glassdoor Est.),₹5L/yr Median
Barclays,3.9,Data Science Decision Analyst Assistant Vice President,Noida,"Date live:
07/15/2025

Business Area:
USCB Operations India

Area of Expertise:
Data & Analytics

Contract:
Permanent


JR-0000048987
Embark on a transformative journey as a Data Science Decision Analyst Assistant Vice President at Barclays, where you'll play a pivotal role in shaping the future. In this role, you will be responsible to provide guidance to other team members on all aspects of coding, including efficiency, work with Big Data. Join us in our mission to safeguard our business and customers from financial risks. With competitive benefits and opportunities for career advancement, Barclays is a great place to grow your career in the banking industry.


Ability to work dedicated shifts in the range of 12 Noon IST to 12 AM IST.
Minimum 6 Years experience in Data Science Domain (Analytics and Reporting).
Ability to write and study and correct Python, SQL code is mandatory.
Ability to work with Big Data.
Ability to articulate a Value Proposition and Enhancement opportunity.
Visualization Tools exposure like Power BI, Tableau.
AWS Services exposure.
Machine Learning Operations
Py Spark exposure

You may be assessed on key essential skills relevant to succeed in role, such as strong knowledge on Python, SQL, Big Data, Power BI, Tableau strategic thinking as well as job-specific technical skills.

This role is based out of Noida.

Purpose of the role

To implement data quality process and procedures, ensuring that data is reliable and trustworthy, then extract actionable insights from it to help the organisation improve its operation, and optimise resources.

Accountabilities

Investigation and analysis of data issues related to quality, lineage, controls, and authoritative source identification.
Execution of data cleansing and transformation tasks to prepare data for analysis.
Designing and building data pipelines to automate data movement and processing.
Development and application of advanced analytical techniques, including machine learning and AI, to solve complex business problems.
Documentation of data quality findings and recommendations for improvement.

Assistant Vice President Expectations

To advise and influence decision making, contribute to policy development and take responsibility for operational effectiveness. Collaborate closely with other functions/ business divisions.
Lead a team performing complex tasks, using well developed professional knowledge and skills to deliver on work that impacts the whole business function. Set objectives and coach employees in pursuit of those objectives, appraisal of performance relative to objectives and determination of reward outcomes
If the position has leadership responsibilities, People Leaders are expected to demonstrate a clear set of leadership behaviours to create an environment for colleagues to thrive and deliver to a consistently excellent standard. The four LEAD behaviours are: L – Listen and be authentic, E – Energise and inspire, A – Align across the enterprise, D – Develop others.
OR for an individual contributor, they will lead collaborative assignments and guide team members through structured assignments, identify the need for the inclusion of other areas of specialisation to complete assignments. They will identify new directions for assignments and/ or projects, identifying a combination of cross functional methodologies or practices to meet required outcomes.
Consult on complex issues; providing advice to People Leaders to support the resolution of escalated issues.
Identify ways to mitigate risk and developing new policies/procedures in support of the control and governance agenda.
Take ownership for managing risk and strengthening controls in relation to the work done.
Perform work that is closely related to that of other areas, which requires understanding of how areas coordinate and contribute to the achievement of the objectives of the organisation sub-function.
Collaborate with other areas of work, for business aligned support areas to keep up to speed with business activity and the business strategy.
Engage in complex analysis of data from multiple sources of information, internal and external sources such as procedures and practises (in other areas, teams, companies, etc).to solve problems creatively and effectively.
Communicate complex information. 'Complex' information could include sensitive information or information that is difficult to communicate because of its content or its audience.
Influence or convince stakeholders to achieve outcomes.

All colleagues will be expected to demonstrate the Barclays Values of Respect, Integrity, Service, Excellence and Stewardship – our moral compass, helping us do what we believe is right. They will also be expected to demonstrate the Barclays Mindset – to Empower, Challenge and Drive – the operating manual for how we behave.",₹8L – ₹10L/yr (Glassdoor Est.),₹9L/yr Median
Technology Next,3.4,ML Engineer,Remote,"ML Engineer
Experience : 6+
Salary : 75K to 85K
Timing : (IST) 10am to 7pm
Location : Remote Contract 6 months
Tenure : Minimum 6 Months(Extendable)
Job description :-
We are looking for a strong engineer who has a background in generative AI and NLP, with experience in areas like language model evaluation; data processing for pre-training and fine-tuning; responsible LLMs; LLM alignment; reinforcement learning for language model tuning; efficient training and inference; and/or multilingual and multimodal modeling.
Qualifications
· Minimum 5 years of experience in Generative AI and NLP with experience in areas like language model evaluation
· Master’s degree in computer science, Computer Engineering, relevant technical field, or equivalent practical experience
· Research experience in machine learning, deep learning, and/or natural language processing
· Experience with developing machine learning models at scale from inception to production
· Programming experience in and hands-on experience with frameworks such as PyTorch
· Proficient in leveraging LangChain for the development and integration of large language models (LLMs) into diverse applications, demonstrating a strong ability to enhance AI functionalities through innovative uses of natural language processing and understanding.
· Exposure to architectural patterns of large-scale software applications
· Must obtain work authorization in the country of employment at the time of hire, and maintain ongoing work authorization during employment",₹75K – ₹85K/mo (Employer provided),₹80K/mo Median
ChicMic Studios,N/A,Data Scientist,Mohali,"Chicmic Studios
Job Role: Data Scientist
Experience Required: 3+ Years
Skills Required: Data Science, Python, Pandas, Matplotlibs
Job Description:
We are seeking a Data Scientist with strong expertise in data analysis, machine learning, and visualization. The ideal candidate should be proficient in Python, Pandas, and Matplotlib, with experience in building and optimizing data-driven models. Some experience in Natural Language Processing (NLP) and Named Entity Recognition (NER) models would be a plus.
Roles & Duties:
Analyze and process large datasets using Python and Pandas.
Develop and optimize machine learning models for predictive analytics.
Create data visualizations using Matplotlib and Seaborn to support decision-making.
Perform data cleaning, feature engineering, and statistical analysis.
Work with structured and unstructured data to extract meaningful insights.
Implement and fine-tune NER models for specific use cases (if required).
Collaborate with cross-functional teams to drive data-driven solutions
Required Skills & Qualifications:
Strong proficiency in Python and data science libraries (Pandas, NumPy, Scikit-learn, etc.).
Experience in data analysis, statistical modeling, and machine learning.
Hands-on expertise in data visualization using Matplotlib and Seaborn.
Understanding of SQL and database querying.
Familiarity with NLP techniques and NER models is a plus.
Strong problem-solving and analytical skills.
Contact: 9875952836
Office Address: F273, Phase 8B industrial Area, Mohali, Punjab.
Job Type: Full-time
Application Question(s):
What is your Native & Current Location?
*
What is your Highest Qualification?
Work Location: In person",N/A,N/A
Maruti Suzuki India Ltd,3.8,Data Scientist (Analytics Centre of Excellence (ACE) ),Gurgaon,"About MSIL -

If you have travelled in India, taken a route to anywhere around this great nation, chances are you’ve driven with us. For close to four decades now, Maruti Suzuki cars have been going places. A Joint Venture Agreement with Suzuki Motor Corporation of Japan in 1982 laid the foundations of Maruti Suzuki that we all see today. Today, Maruti Suzuki alone makes more than 1.8 million Maruti Suzuki family cars every year. That’s one car every 10 seconds. We drive up head and shoulders above every major global auto company. We have built our story with a belief in small cars for a big future. The Maruti Suzuki journey has been nothing less than spectacular.

We are looking for a

Data Scientist

for our

Analytics Centre of Excellence (ACE) CoE

Job Responsibilities

Competencies / Skills


2 years (min) to 8 years (max)


Bachelor of Technology (B.Tech) or equivalent",₹3L – ₹10L/yr (Glassdoor Est.),₹6L/yr Median
Artius Solutions,4.6,Machine Learning Engineer,India,"Job Title: Machine Learning Engineer
Job Type: Contract (2 Months)
Location: Remote (Preferred: India, Pakistan, Nigeria, Kenya, Egypt, Ghana, Bangladesh, Turkey, Mexico)
Work Hours: Minimum 20 hours per week, with at least 4 hours/day overlapping with PST
Employment Type: Contractor (No medical benefits or paid leave)
Job Overview:
We are seeking an experienced Machine Learning Engineer with strong expertise in JAX and solid knowledge of TensorFlow. You will lead the migration of TensorFlow models and training pipelines to JAX, ensuring model accuracy and optimal performance. This role requires deep involvement in model internals, benchmarking, and cross-framework compatibility.
Key Responsibilities:
Required Skills:
Preferred Skills (Bonus):
Additional Details:",N/A,N/A
KnowBe4,3.7,"Staff Data Scientist (Position located in Bengaluru, India)",Bengaluru,"About KnowBe4
KnowBe4, the provider of the world's largest security awareness training and simulated phishing platform, is used by tens of thousands of organizations around the globe. KnowBe4 enables organizations to manage the ongoing problem of social engineering by helping them train employees to make smarter security decisions, every day.
Fortune has ranked us as a best place to work for women, for millennials, and in technology for four years in a row! We have been certified as a ""Great Place To Work"" in 8 countries, plus we've earned numerous other prestigious awards, including Glassdoor's Best Places To Work.
Our team values radical transparency, extreme ownership, and continuous professional development in a welcoming workplace that encourages all employees to be themselves. Whether working remotely or in-person, we strive to make every day fun and engaging; from team lunches to trivia competitions to local outings, there is always something exciting happening at KnowBe4.",₹3L – ₹10L/yr (Glassdoor Est.),₹6L/yr Median
Boston Consulting Group,4.2,"Data Scientist / Senior Data Scientist, India - BCG X",Gurgaon,"Locations: Mumbai | Gurgaon

Who We Are

We are BCG X. Our global team of 3,000 tech experts are united by a drive to make a difference. Working across industries and disciplines, we go beyond what was once thought possible, creating new and innovative solutions to the world’s most complex problems. BCG X provides a unique ecosystem for talent to build game-changing businesses, products, and services from the ground up, all while growing their career. Together, we strive to create solutions that will positively impact the lives of millions.

We Are BCG X

We’re a diverse team of more than 3,000 tech experts united by a drive to make a difference. Working across industries and disciplines, we combine our experience and expertise to tackle the biggest challenges faced by society today. We go beyond what was once thought possible, creating new and innovative solutions to the world’s most complex problems. Leveraging BCG’s global network and partnerships with leading organizations, BCG X provides a stable ecosystem for talent to build game-changing businesses, products, and services from the ground up, all while growing their career. Together, we strive to create solutions that will positively impact the lives of millions.

What You'll Do

As a Data Scientist at BCG, you will collaborate on challenging projects to increasing your understanding of complex business problems from diverse perspectives and developing new skills and experience to help you at every stage of your career. You will use data and advanced analytics to uncover innovative insights that create lasting impact for BCG and its clients.

Key Competencies

Applying advanced analytics and AI/ML techniques to solve complex business problems and create value for BCG clients.

Conceptualizing business problems and drive frameworks.

Managing engagements, client relationships, and display initiative to effectively drive solutions to client problems.

Communicating effectively and professionally with clients, delivering impactful solutions and presenting insights coherently.

Collaborating to work in cross-functional teams with diverse backgrounds and perspectives

What You'll Bring

A master’s degree or PhD in computer science, data science, mathematics, statistics, engineering, or a related field

2+ years of relevant work experience in data science, machine learning, artificial intelligence, or big data

Proficiency in Python, R, SQL, and other programming languages and tools for data analysis and machine learning

Experience in designing, developing, and deploying scalable and robust data products using cloud platforms such as AWS, Azure, or Google Cloud

Experience in using machine learning techniques such as regression, classification, clustering, natural language processing, computer vision, etc.

Familiarity with industry-specific skills such as retail analytics, healthcare analytics, financial analytics, etc.

Boston Consulting Group is an Equal Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, color, age, religion, sex, sexual orientation, gender identity / expression, national origin, disability, protected veteran status, or any other characteristic protected under national, provincial, or local law, where applicable, and those with criminal histories will be considered in a manner consistent with applicable state and local laws.
BCG is an E - Verify Employer. Click here for more information on E-Verify.",₹6L – ₹8L/yr (Glassdoor Est.),₹7L/yr Median
Kinaxis Inc.,4.1,"Staff Software Developer, Machine Learning",Bengaluru,"About Kinaxis:
About Kinaxis
Elevate your career journey by embracing a new challenge with Kinaxis. We are experts in tech, but it’s really our people who give us passion to always seek ways to do things better. As such, we’re serious about your career growth and professional development, because People matter at Kinaxis.

In 1984, we started out as a team of three engineers based in Ottawa, Canada. Today, we have grown to become a global organization with over 2000 employees around the world, and support 40,000+ users in over 100 countries. As a global leader in end-to-end supply chain management, we enable supply chain excellence for all industries. We are expanding our team in Chennai and around the world as we continue to innovate and revolutionize how we support our customers.

About the team:
About the role:

Why join Kinaxis?:",₹3L – ₹8L/yr (Glassdoor Est.),₹5L/yr Median
